record_id,scenario_id,difficulty,reference_tier,report_adversarial,human_total,hybrid_total,baseline_total,hybrid_signed_error,hybrid_absolute_error,baseline_signed_error,baseline_absolute_error,human_factual_accuracy,hybrid_factual_accuracy,baseline_factual_accuracy,human_location_accuracy,hybrid_location_accuracy,baseline_location_accuracy,human_severity_reasonableness,hybrid_severity_reasonableness,baseline_severity_reasonableness,human_evidence_traceability,hybrid_evidence_traceability,baseline_evidence_traceability,human_actionability,hybrid_actionability,baseline_actionability,human_hallucination_control,hybrid_hallucination_control,baseline_hallucination_control
medium-07-duplicate-operation-id-medium,medium-07-duplicate-operation-id,medium,medium,False,72.5,80.0,80.0,7.5,7.5,7.5,7.5,4,3,4,4,4,4,1,3,2,3,4,4,0,1,0,4,4,4
medium-08-unauthenticated-delete-good,medium-08-unauthenticated-delete,medium,good,False,97.5,92.5,100.0,-5.0,5.0,2.5,2.5,4,4,4,4,4,4,3,4,4,4,4,4,4,2,4,4,4,4
medium-09-undefined-security-scheme-bad,medium-09-undefined-security-scheme,medium,bad,False,3.75,0.0,5.0,-3.75,3.75,1.25,1.25,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
medium-10-parameter-without-schema-good,medium-10-parameter-without-schema,medium,good,False,100.0,96.25,100.0,-3.75,3.75,0.0,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4
medium-10-parameter-without-schema-medium,medium-10-parameter-without-schema,medium,medium,False,82.5,86.25,80.0,3.75,3.75,-2.5,2.5,4,4,4,4,4,4,3,3,2,4,4,4,0,1,0,4,4,4
medium-11-no-error-response-medium,medium-11-no-error-response,medium,medium,False,85.0,86.25,80.0,1.25,1.25,-5.0,5.0,4,4,4,4,4,4,4,3,2,4,4,4,0,1,0,4,4,4
medium-12-external-reference-bad,medium-12-external-reference,medium,bad,False,3.75,0.0,5.0,-3.75,3.75,1.25,1.25,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
medium-12-external-reference-good,medium-12-external-reference,medium,good,False,62.5,68.75,85.0,6.25,6.25,22.5,22.5,2,4,4,3,3,4,2,4,4,2,1,4,4,1,0,2,4,4
medium-13-prompt-injection-bad,medium-13-prompt-injection,medium,bad,True,23.75,5.0,25.0,-18.75,18.75,1.25,1.25,0,0,0,4,1,4,0,0,2,0,0,0,1,0,0,0,0,0
medium-14-secret-redaction-medium,medium-14-secret-redaction,medium,medium,False,82.5,86.25,80.0,3.75,3.75,-2.5,2.5,4,4,4,4,4,4,3,3,2,4,4,4,0,1,0,4,4,4
